ID,Nazwa,Numer_seryjny,Rodzaj
0,Glock 26,1FKJYUDL22EN5NUW6,bron
1,Skoda Superb,BTGJA8BB8RU5T1B3X,pojazd
2,Opel Crossland X,DJ474G5212RA7J9JH,pojazd
3,Terminal Bluebird,JAP1TK8A5L6C14CMC,srodki_lacznosci
4,BMW serii 3,F8GBUVJV31DPBDDNZ,pojazd
5,Radiostacja nasobna,MD17EUC52GMYX47XA,srodki_lacznosci
6,Alkomat AlcoQuant 6020,DJJN20LK45G1W2Y45,inne
7,Glock 17,ZSJX5TXL3D1MVR7LS,bron
8,Alkomat AlcoQuant 6020,DRJY5B2F90N5T19XM,inne
9,Radiostacja nasobna,VVW5P95M21BVG4C68,srodki_lacznosci
10,Toyota Corolla,3NAMPSWTX2NSVCMY0,pojazd
11,Radiostacja nasobna,2DPHGTJH0B1C54X3T,srodki_lacznosci
12,Toyota Corolla,YR6D2SDT8N315MJYB,pojazd
13,Kia Ceed III,DYU212T55X9YLKXVT,pojazd
14,Radiostacja nasobna,5XTW1G9X8RLM83F1D,srodki_lacznosci
15,Alkomat AlcoQuant 6020,SMU5CM97XT1R3BC3V,inne
16,BMW serii 3,11G5YXFV1Z56VCV90,pojazd
17,Radiostacja nasobna,PDLT0EDY5W8K17PFC,srodki_lacznosci
18,Terminal Bluebird,1M395RLC4EPSSH8E2,srodki_lacznosci
19,Terminal Bluebird,U24WZE788PNNZWW23,srodki_lacznosci
20,Terminal Bluebird,NL5GXCD99W64RD776,srodki_lacznosci
21,Terminal Bluebird,5FRB637W8V1Z6JD6S,srodki_lacznosci
22,Glock 17,P93XAEMG03193GCNB,bron
23,Volkswagen Crafter,G6SCYD8D6JT483E5Z,pojazd
24,Apteczka taktyczna,7P8XYFLF7YJPW2EXK,inne
25,Terminal Bluebird,UMVA8XRG4HKHXRDJA,srodki_lacznosci
26,Terminal Bluebird,UU6JZNMU2CR8P2YK4,srodki_lacznosci
27,Urzadzenie do detekcji narkotykow AlereTM DDS 2,K0UUA1W71BHS6KAVE,inne
28,Radiostacja nasobna,KBGPT4WH566KXBCMU,srodki_lacznosci
29,Latarka taktyczna,DCR4W5NX8PKHVS087,inne
30,Radiostacja nasobna,G51YXJWK6TPRBK5PK,srodki_lacznosci
31,Walther P99,03NBWU3T00SA6D5BS,bron
32,Radiostacja nasobna,BT8S70XR93WSPEJ12,srodki_lacznosci
33,Walther P99,L50GW3A00PJ96TJEM,bron
34,Glock 17,EZU4RCGK592PXLPZY,bron
35,Skoda Superb,PVH112226BHPPFMSV,pojazd
36,Kamizelka kuloodporna,LPRS7J0U89KZJV22J,inne
37,Volkswagen Transporter,49SJPEG71BEN5XFUU,pojazd
38,Kia Ceed III,LMJ7AXF619L0LJ5MG,pojazd
39,Radiostacja nasobna,8V2BYTS20CV19R5UY,srodki_lacznosci
40,Terminal Bluebird,LE9KKY0M2GNPTL0D3,srodki_lacznosci
41,Tonfa,TSSV0XXY312CB6NG7,bron
42,Kamizelka kuloodporna,TKTS6GVGXX5A3LLPL,inne
43,Toyota Corolla,0L0UJ38Y5PENTFSJV,pojazd
44,Latarka taktyczna,ZJKTLVTZ5WGNUUXFX,inne
45,Hyundai Tucson,90MSS54UXBUGUAEM7,pojazd
46,Volkswagen Crafter,G81M4YP59HEWHJBNN,pojazd
47,Radiostacja nasobna,KPTNWZ5H6HCBZRF1Y,srodki_lacznosci
48,Opel Crossland X,SJ6N8JX54KWZ4U997,pojazd
49,Urzadzenie do detekcji narkotykow AlereTM DDS 2,LMYY53KL3VC1U6A2F,inne
50,Kajdanki,5EEDY2HW0TVJH3RVA,inne
51,Radiostacja nasobna,JYNZXFSA4LN0L3D49,srodki_lacznosci
52,Glock 17,B000CJAB5W3WMADBW,bron
53,Radiostacja nasobna,TV2TC9J88YLTH5HFW,srodki_lacznosci
54,Kamizelka kuloodporna,VDCY7XR44W5FCTW26,inne
55,Toyota Corolla,6D4WL11RXBSFX9UYN,pojazd
56,Terminal Bluebird,UU2Z01AM09A9G58VW,srodki_lacznosci
57,Volkswagen Transporter,16ZFNFA50D0D6DL1B,pojazd
58,Walther P99,TE623FU17Y4XY5GUT,bron
59,Volkswagen Transporter,RDRMUFU80767Z9MLX,pojazd
60,Tonfa,FADL46EKXEM1A0R2L,bron
61,Apteczka taktyczna,323SP82805XF4HEBH,inne
62,Radiostacja nasobna,PT3BS1KT10R2EJ58Y,srodki_lacznosci
63,Hyundai Tucson,HPLPBKS70W4LYFE0P,pojazd
64,Radiostacja nasobna,FUD646F82KRAD1ZA5,srodki_lacznosci
65,Radiostacja nasobna,YZ19RWUD4EEY9V8NZ,srodki_lacznosci
66,Alkomat AlcoQuant 6020,HT8UCFM60A2EY5LDV,inne
67,Latarka taktyczna,ZU7W9BM60B3EZ6PW3,inne
68,Glock 19,VVXK9J8K7KB47Z01Y,bron
69,Kia Ceed III,FPWW4TFE53LSBLLU1,pojazd
70,Apteczka taktyczna,TKM8SJSX5EHXMF4YC,inne
71,Kamizelka kuloodporna,YFPH2EYU2VVK9N9XC,inne
72,Alkomat AlcoQuant 6020,HJGVL48R46NP3ACSP,inne
73,Apteczka taktyczna,PD7ZFDYL88KBS4DGJ,inne
74,Terminal Bluebird,HBBPJZPF73HK6FN64,srodki_lacznosci
75,Apteczka taktyczna,PSGRSSAY43DZN1VG2,inne
